userId,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lastOnlineTs,lang_count,lang_fr,lang_de,countDetails,flirtstar,hasBirthday,distance,mobile,online,connectedToFacebook,locked,genderLooking,counts_fans,counts_g,isInfluencer,shareProfileEnabled,isfreshman,crypt,isSystemProfile,ISpicture,ISinsta2,ISemoji2,IS_lang_pt_es_en_it,nameN,cityN,locationCityN,locationCitySubN,countryN
503fc2b8a9d0b3b2480000a8,21.0,1.0,25903.0,982.0,1.0,1.0,1.0,0.0,0.0,1428505759.0,1.0,0.0,1.0,0.62,0.0,0.0,137.0,1.0,1.0,0.0,0.0,M,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Basel,nan,CH
50421dc94ea6e83e24000000,21.0,27.0,33018.0,812.0,1.0,1.0,1.0,0.0,1.0,1429997740.0,1.0,0.0,1.0,0.85,0.0,0.0,103.0,1.0,0.0,0.0,0.0,M,36.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Other,Other,CH
50425e986f37f30f26000008,22.0,15.0,2502.0,25.0,1.0,0.0,0.0,0.0,0.0,1428346335.0,1.0,0.0,1.0,0.0,0.0,0.0,152.0,1.0,0.0,0.0,0.0,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Other,nan,DE
5043944e6f37f35f6600002d,24.0,5.0,22847.0,1282.0,1.0,0.0,0.0,0.0,1.0,1428438077.0,4.0,1.0,1.0,0.19,0.0,0.0,164.0,1.0,0.0,0.0,0.0,M,63.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Other,Other,Other,nan,Other
50450b930c84d3d40e0000b6,21.0,13.0,7407.0,125.0,1.0,1.0,1.0,0.0,0.0,1429967894.0,3.0,1.0,1.0,1.0,0.0,0.0,142.0,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Other,Luzern,Other,nan,CH
504b834fa9d0b30a5e000305,19.0,30.0,16096.0,533.0,1.0,1.0,0.0,0.0,1.0,1430049047.0,2.0,0.0,1.0,0.88,0.0,0.0,136.0,1.0,1.0,0.0,0.0,both,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Other,Other,Other,nan,CH
505b77bfa9d0b35a7f000059,20.0,18.0,6962.0,361.0,1.0,1.0,1.0,0.0,0.0,1430036281.0,1.0,0.0,1.0,1.0,0.0,0.0,144.0,1.0,0.0,0.0,0.0,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,L̦rrach,L̦rrach,nan,DE
505c1fb6883fa981430003eb,22.0,30.0,30863.0,1901.0,0.0,0.0,1.0,0.0,0.0,1428505744.0,1.0,0.0,1.0,0.69,0.0,0.0,177.0,1.0,1.0,0.0,0.0,both,121.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Other,nan,CH
505e2cb5883fa927490000de,24.0,3.0,51339.0,2926.0,1.0,0.0,0.0,0.0,0.0,1428489516.0,1.0,0.0,1.0,0.85,0.0,0.0,143.0,1.0,0.0,0.0,0.0,M,1.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Vanessa,Other,Other,AG,CH
5061efafca61bef159000003,21.0,7.0,3471.0,38.0,0.0,0.0,1.0,0.0,0.0,1428506076.0,1.0,0.0,1.0,0.96,0.0,0.0,183.0,1.0,1.0,0.0,0.0,M,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Other,Other,Uster,nan,CH
